id_transacao,transactions
133,masc;pimpolho;meia;azultucano;ludica;presente
134,mayara;denguinho;luxo;pantufa;pagão;samuel
135,animal;love;gigica;salopete;iilhoes;blusa;short;kids;conj;print;conjunto;listrado
136,moda;haos;fria;malha;bichinhos;fofinha;camiseta;liso;calcinha;cueca;luziane;kids;short;elastico;estampada;algodão;tanga
137,luziane;calcinha;lisa;algodão
138,cristal;calcinha;baby;kids;lamayara;micol;luxo;oxford;vestido;camiseta;toalha;fralda;caricia;minasrey;mayara;rosto;chapéu;super;lisa
139,mayara;thalita;fofinha;regata;calcinha;luziane;kids;vestido;lisa;algodão;tanga
140,microfibra;boxer;cueca;mallbeck;estampada
141,malha;camiseta;masculino
142,kikarinho;macaquito;ravi
143,malha;verde;vestido;nikko;alga
144,visual;lisa;moda;naclefs;canelada;meia;fashion;regata;kids;short;mania;vystek;juvenil;coxa;legue
145,bermuda;polo;machao;sergio;puppydiferente;modas;everly;tricoline;regata;plaquinha;kids;boné;mgrm;camisa;moletom;algodão
146,micol;proteção;calcinha;baby;kids;turma;camisa;camiseta;mayara
147,ondas;supreme;short;boné;infantil;camisa;turma;juvenil;sunga
148,pimpolho;brancocinza;colors;tenis;urban;street
149,luziane;calcinha;lisa;algodão
150,opaca;calça;trifil;meia
151,laços;nanai;brandili;elian;kamylus;baby;kyly;berna
152,langerie;bojo;blusa;lili;algodão;amanda;sutia
153,pimpolho;invisivel;supreme;unissex;meia;boné;juvenil;lisa;branca
154,luziane;calcinha;lisa;algodão
155,confecções;cueca;lisa;haos
156,brincadeira;malha;laranja;nikko;conjunto
157,amorarma;matheus;calcinha;cueca;kids
158,toalhas;desenho
159,juvenil;bermuda;selfie;manga;polo;halo;menino;brandili;nanai;curta;italico;elian;kamylus;cueca;kyly;camisa;moletom
160,vinny;meias
161,calça;jeans;helo
162,luziane;calcinha;lisa;algodão
163,ekros;cueca
164,malha;regata;fria
165,langerie;bojo;lili;sutia
166,bilu;feminino;pimpolho;unissex;regata;baby;mylove;tapa;navy;nikko;conjunto;algodão;suedine;denim;vestido;animais;camiseta;azul;fralda;transparenterosa;moda;mordedor;suave;bichinhos;penteada;cotton;meia;donuts;rosaamarelopink;nikkomoletom;body;ovelha;malha;marinhos;brandili;rosa;bordada
167,bilu;pimpolho;ovelharosa;cueca;tapa;algodão;geometricabege;camiseta;fralda;bebe;meia;confecções;ovelha;meninos;rosa;colorida;pares;lisa;bordada
168,microfibra;machao;sergio;boxer;modas;regata;cueca;mallbeck;lisa
169,calcinha
170,fralda;luxo;minasrey;dengo;lisa
171,pentmolet;cotton;mecbee;baby;conjunto;peixinhos;bege;pagão;mario
172,moda;fria;malha;naclefs;dinda;regata;short;fashion;juvenil;variados
173,penteada;malha;meia;vestido;vermelho;sorvetes
174,cinza;calca;allanxander;sarja;cueca;lazinho;camisa;gola;padre
175,laços;quiteria;tradicional;nanai;brandili;matheus;elian;kamylus;cueca;kyly
176,penteada;malha;feliz;meia;rosa;vestido
177,pimpolho;baby;calçados;algodão;mimo;ravi;sapatinhos;sapato;mocassim;kikarinho;soffete;camiseta;fase;fralda;moda;bichinhos;saldo;white;macaquito;bordestam;bordada
178,indri;sutiã;careca;kids;cokit;camisa;sport;gola
179,bermuda;polo;marands;jeans;ccinto;camisa;rotas;gola
180,visual;moda;naclefs;canelada;zafirinha;regata;calcinha;luziane;kids;mania;short;fashion;juvenil;lisa;algodão
181,moda;bichinhos;luxo;calcinha;super;camiseta;mayara
182,coxa;canelada;meia;regata;blusa;estampada;vystek;lisa;legue
183,curto;macacao;bionda;laço;faixa;mecbee;calça;michelly;biquini
184,proteção;conjunto;protection
185,reto;micol;canelada;regata;blusa;baby;short;vystek;estampado;lisa
186,luziane;calcinha;lisa;algodão
187,juninho;jardineira;calcinha;baby;paulina;vestido;carol;mayara;mimos
188,calcinha;baby;tiara;mimo;mayara
189,pimpolho;alimentador;unissex;infantil;unico;silicone
190,pimpolho;sutiã;selene;meia;rosezebra;colorida;infantil;cokit;sport;lisa;soquete
191,calcinha;kids;july;sutiã;naclefs;algodao;classic;fralda;moda;nenem;jade;minasrey;intimate;luziane;estampada;kangyadiezi;malha;short;fashion;juvenil;lisa
192,bermuda;selfie;russa;cordao;moletom;tactel;montanha
193,lisa;toalha;rosto
194,visual;moda;naclefs;canelada;regata;kids;short;mania;fashion;juvenil
195,social;linho;camisa;rotas;branca
196,italicomar;sergio;machao;modas;prata;regata;short;tactel
197,luziane;calcinha;lisa;algodão
198,tradicional;mgrmglupmetamania;salmao;amarelo;regata;matheus;cueca;kids;tocaia;amsterdam;rosita;moletom;camiseta;alakazoo;haos;penteada;linho;meia;calça;mauricinho;diferente;malhas;saruel;bermuda;confecções;malha;calaa;isensee;italico;bordadinos;kyly;camisa;lisa
199,visual;canelada;doll;regata;calcinha;baby;kids;conj;conjunto;naclefs;blusa;stylo;azul;durma;moda;penteada;fria;meia;voando;luziane;mania;malha;rebekids;short;fashion;juvenil;lisa
200,manga;camisa;proteção;curta;kids;talento;conjunto
201,portatil;trocador;saldo
202,visual;moda;naclefs;canelada;regata;kids;short;mania;fashion;juvenil
203,short;algodão;elastico;liso
204,cokit;sport;sutiã
205,luziane;calcinha;lisa;algodão
206,reto;micol;fria;malha;curta;calcinha;regata;luziane;short;baby;vystek;estampado;lisa;algodão;legue
207,moda;franzido;bichinhos;short;elastico;liso;infantil;camiseta;algodão
208,visual;pimpolho;brancatrovao;sapatilha;canelada;meia;rosagatinha;regata;colorida;kids;mania
209,coxa;malha;fria;meia;curta;estampada;regata;vystek;lisa;legue
210,intimate;jade;sutiã;kangyadiezi
211,peças;pimpolho;bordado;eduardo;mecbee;multimarca;saldo;pagao;camisa;calçados
212,confecções;haos;cuecas;cueca;lisa
213,confecções;cueca;lisa;haos
214,sandalia;mini;trekker;pimpolho;caramelo;sapato;mocassim;white;fase
215,kids;short;zafirinha
216,taquetel;confecções;haos;machao;sergio;modas;prata;regata;cueca;short;estampado;lisa
217,proteção;conjunto;turma
218,masc;pimpolho;italicomar;cuecas;brancaxadrez;azulcachorro;meia;prata;colorida;short;mauricinho
219,toalhas;desenho
220,lisa;manga;meia;camisa
221,micol;lisa;fofinha;calcinha;baby;kids;infantil;pijama;camiseta;algodão;longo;tanga;punho
222,amorarma;moda;naclefs;calcinha;luziane;short;fashion;juvenil;lisa;algodão
223,camiseta;algodão;bordada
224,confecções;cueca;lisa;haos
225,alto;rosaporquinha;cano;pimpolho;meia;colorida;brancaporquinha
226,haos;calcinha;cueca;estampada;mayara
227,visual;canelada;regata;kids;mania
228,body;babado;confecções;bolinha;bordada;pimpolho;tematico;colher;camiseta;unissex;rosa;calcinha;infantil;silicone;sainha;coxa;algodão;mayara
229,bermuda;italicomar;linho;prata;paulina;calcinha;short;kids;vestido;mauricinho;diferente
230,malha;nikko;vestido;laranja
231,visual;moda;naclefs;canelada;fofinha;fashion;curta;calcinha;regata;kids;short;mania;vystek;juvenil;lisa;tanga;legue
232,blusa;algodão;amanda
233,regata;sergio;machao;modas
234,calcinha
235,proteção;conjunto
236,cuecas;calcinha;guipir;mayara
237,branco;pimpolho;malha;nikko;festa;luxo;meia;calcinha;super;white;vestido;infantil;fashion;mayara
238,masc;pimpolho;meia;brancacarro;colorida;brancotenis
239,lisa;penteadat;bone;malha;fria;ecotex;malibu;calcinha;estampada;luziane;oxford;conjunto;lamayara;algodão
240,babados;carrazzone;blusa;alice;conj;estampado;viscose
241,juvenil;calcinha;lisa;luziane
242,italicomar;machao;sergio;modas;prata;short;camisa;mauricinho;juvenil
243,peças;mecbee;pagao;baby;conjunto;wêdja;pagão;mario
244,visual;polo;jardineira;paulina;calcinha;kids;vestido;mania;camisa;diferente;gola;mayara
245,cinto;action;cueca;marinho;mallbeck;zangadinho;microfibra;boxer;brim;camiseta;penteada;marands;meia;estampada;gola;bermuda;polo;malha;camisa;lisa
246,body;micol;sued;regata;baby;kids;infantil;pijama;leon;longo;punho
247,luziane;calcinha;lisa;algodão
248,juvenil;calcinha;lisa;luziane
249,visual;canelada;regata;blusa;calcinha;kids;short;mania;zafirinha;algodão;amanda
250,bojo;tradicional;intima;matheus;calcinha;cueca;kids;conjunto;july;manga;italicomar;naclefs;langerie;blusa;algodao;lili;alfaiataria;tactel;azul;sutia;bruguellus;moda;fria;luli;prata;stich;estampada;lino;pent;malha;saia;short;dona;fashion;juvenil;artico;craft
251,malha;doce;algodao;vestido;vermelh;nikko
252,calcinha;simples;bordada
253,suave;malha;rosa;calcinha;kids;vestido;nikko;bordada
254,malha;regata;fria
255,guipir;poliamida;pimpolho;babadinho;anos;meia;calcinha;vestido;bonita;menina;calca;mayara;branca
256,denguinho;touca;bordada
257,taquetel;prata;short;estampado;lisa;toalha;rosto
258,malha;blusa;manga;fria
259,listra;cbody;pagao;conjunto;kadoshinha
260,pato;fuxico;maria;paulina;calcinha;vestido;bico
261,transparenterosa;pimpolho;mordedor;ovelha;chocalho;unissex;lolly
262,transparenterosa;taquetel;pimpolho;mordedor;ovelha;cuecas;italicomar;unissex;prata;curta;short;elastico;liso;estampado;tactel;camiseta;algodão;bordada
263,juvenil;calcinha;lisa;luziane
264,luziane;calcinha;lisa;algodão
265,langerie;bojo;lili;sutia
266,langerie;bojo;lili;sutia
267,luziane;calcinha;lisa;algodão
268,mauricinho;tactel;prata;short
269,moda;fria;malha;naclefs;regata;short;fashion;juvenil
270,estrelinha;menino;fest;fantasia
271,estrelinha;menino;fest;fantasia
272,curta;italico;manga;camisa
273,bichinhos;camiseta;moda
274,toalhas;desenho
275,brunk;jeans;bermuda
276,july;variados;malha;dinda;fofinha;mocassim;calcinha;algodao;kids;dinho;juvenil;shorts;estampada;tanga
277,aberto;estampado;mijão
278,penteada;verde;apolo;coral;conjunto
279,regata;italico;machao;camisa
280,estrelinha;menina;fantasia
281,alto;pimpolho;invisivel;cuecas;costura;boxer;selene;meia;unissex;pentmoletom;cueca;infantil;conjunto;lisa;bege;apol;branca
282,regata;calcinha;cueca;kids;conjunto;academia;algodão;penteadat;italicomar;tactel;toalha;haos;prata;luziane;lazinho;mauricinho;gola;confecções;ecotex;polo;cuecas;verde;italico;year;short;camisa;lisa
283,pimpolho;invisivel;unissex;meia;lisa;branca
284,body;alça;flor;laço;modas;aimi
285,babado;faixa;bianca;calcinha;vestido;luxuosa;mayara
286,micol;durma;italicomar;mauricinho;marands;camisa;prata;regata;italico;baby;kids;stylo;infantil;pijama;short;longo;shortcamisa;punho
287,durma;haos;confecções;calcinha;cueca;luziane;stylo;infantil;pijama;lisa;algodão;shortcamisa
288,dulce;personagens;vystek;legue;carnaval;curta;fashion;lisa;fantasia
289,lisa;toalha;rosto
290,dulce;personagens;carnaval;fashion;fantasia
291,dinda;curta;calcinha;luziane;vystek;shorts;lisa;algodão;variados;legue
292,vystek;curta;lisa;legue
293,indri;bermuda;selfie;regata;kids;moletom;camiseta;algodão;bordada
294,estrelinha;menino;fest;fantasia
295,rayon;soft;bordada;ecotex;doce;flor;tecido;rosa;carmel;dengo;conjunto;butterfly;toalha
296,sutiã;fria;malha;regata;cokit;sport
297,microfibra;boxer;cueca;mallbeck;estampada
298,estrelinha;menino;fest;fantasia
299,langerie;bojo;lili;sutia
300,ondas;pimpolho;italicomar;meia;prata;estampada;short;bichinho;begeborboleta;tactel;sunga
301,body;natália;bianca;vestido;mayara
302,cropped;longa;biquini;turma
303,malha;doce;amarelo;algodao;vestido;nikko
304,body;saia;kids;conj;tutu
305,body;saia;kids;conj;tutu
306,lisa;curta;vystek;estampada;legue
307,machao;camiseta;mgrm;algodao
308,camiseta;algodão;bordada
309,estrelinha;menino;fest;fantasia
310,branco;pimpolho;leao;davi;meia;kikarinho;pares;marinho;macaquito;ratoazul
311,largo;dani;amarelo;calcinha;baby;kids;laterais;longo;mary;laços;jardineira;kikarinho;vestido;pastel;macacao;paulina;mayara;body;malha;laço;faixa;pinçado;bordada
312,macacao;peças;simples;atoalhado;baby;pedrinho;infantil;longo;pagão
313,visual;canelada;regata;kids;mania
314,estrelinha;menina;fantasia
315,bojo;calcinha;baby;kids;algodão;langerie;vestido;carol;lili;sutia;alça;lycra;nadador;luziane;mayara;malha;needfeel;lisa;bordada
316,indri;regata;matheus;cueca;kids;infantil;toalhas;desenho;boxer;selene;tactel;sunga;ondas;haos;prata;turma;mauricinho;estampada;confecções;costura;proteção;italico;short;camisa;juvenil;lisa
317,malha;blusa;manga;fria
318,dulce;personagens;carnaval;fashion;fantasia
319,alça;lycra;estrelinha;nadador;needfeel;menina;fantasia
320,cano;baixo;bebe;meia;pares
321,visual;canelada;zafirinha;regata;calcinha;luziane;kids;mania;short;lisa;algodão
322,lisa;toalha;rosto
323,didita;cropped;alça;saia;puffy;cinto;laço;tecido;rosa;bata;short;conj;vestido;conjunto
324,micol;lisa;feminino;pimpolho;poliamida;calca;anos;meia;liso;baby;kids;pares;short;elastico;camiseta;algodão;branca
325,body;saia;kids;conj;tutu
326,estrelinha;menina;fantasia
327,costura;selene;boxer;curta;calcinha;vystek;lisa;legue
328,estrelinha;menino;fest;fantasia
329,visual;canelada;regata;kids;mania
330,estrelinha;menino;fest;fantasia
331,july;sutiã;jade;malha;kangyadiezi;intimate;calcinha;algodao;kids;juvenil;estampada
332,baby;boca;berco;boys;luxo;dengo;parapipi;babete;fralda;encan;pano;caricia;minasrey;unid;girafa;luva;nice;mayara;americano;celastic;jogo;lencol
333,fralda;bilu;macacao;pimpolho;panda;lauma;unissex;meia;regata;oncaverde;baby;tapa;pares;conjunto;bege;berna
334,rafael;macacao;mayara
335,manga;folia;italicomar;john;prata;curta;baby;kids;short;pijama;mauricinho;pizza;camiseta;tubarão
336,aberto;micol;reto;baby;short;estampado;mijão
337,conjunto;pagao;vestido
338,lisa;toalha;rosto
339,girls;bojo;sport
340,marands;gola;careca;camisa
341,body;alça;flor;laço;modas;aimi
342,babado;calcinha;kids;sugar;boca;luxuosa;ciclista;july;naclefs;algodao;grande;moda;luziane;estampada;mayara;malha;short;fashion;juvenil;lisa
343,blusa;algodão;amanda
344,macacao;pimpolho;meia;atoalhado;baby;rosavaca;pedrinho;bichinho;longo
345,regata;sergio;machao;modas
346,intimate;jade;sutiã;kangyadiezi
347,doce;genty;short;liso;canelado
348,estampada;cueca;haos
349,boné;diversos
350,bilu;lisa;canelada;fuxico;regata;tapa;liso;algodão;pato;maria;blusa;camiseta;legue;fralda;fria;meia;vystek;estampada;malha;short;elastico;coxa;bico;bordada
351,estrelinha;menina;fest;fantasia
352,moda;naclefs;calcinha;short;luziane;fashion;juvenil;lisa;algodão
353,july;moda;malha;intima;calcinha;algodao;kids;estampada
354,pimpolho;basica;calcinha;baby;kids;lamayara;simples;oxford;fase;legue;sandalia;macacao;massageador;meia;vystek;berna;coxa;malha;transparente;gengiva;chapéu;lisa;bege;bordada
355,body;simples;manga;peças;vinny;sued;meia;caçulinha;infantil;longa;pagão;meias
356,vidi;vici;longo;pijama
357,july;moda;malha;intima;calcinha;algodao;kids;estampada
358,girls;bojo;sport
359,calcinha;baby;pedrita;bicos
360,soft;thalyta;detalhe;bordada;baby;short;chupeta;elastico;liso;toalha;camiseta;algodão;mimo;pagão
361,fralda;rolinhos;pagao;conj;ursinho;cueiro;bordestam;mimo;kadoshinha
362,pimpolho;tigrebranco;leao;meia;pagao;pares;conj;ursinho;bege;kadoshinha
363,pimpolho;panda;unissex;meia;oncaverde;pares;bege
364,intimate;jade;sutiã;kangyadiezi
365,alto;cano;masc;pimpolho;cuecas;cinzazebra;marinh;meia;pentmoletom;begelemure;begetigre;colorida;conjunto;jacare
366,machao;sergio;modas;camisa;juvenil;camiseta;algodão;bordada
367,microfibra;machao;sergio;boxer;modas;regata;cueca;mallbeck;estampada
368,microfibra;machao;sergio;boxer;modas;regata;cueca;mallbeck;lisa
369,microfibra;boxer;cueca;mallbeck;estampada
370,poliamida;aplique;selene;meia;infantil
371,lisa;short;elastico;liso;camiseta;algodão
372,pente;escova
373,visual;manga;moda;fria;malha;canelada;naclefs;fashion;regata;blusa;kids;short;mania;vystek;juvenil;lisa;capri;legue
374,vystek;lisa;capri;legue
375,aberto;micol;reto;lisa;short;babay;kids;liso;estampado;mijão;camiseta;algodão
376,visual;penteada;canelada;malha;meia;regata;rosa;kids;short;mania;zafirinha;vestido;floriu
377,zuzinha;gola;marrom;camisa;abertura;portuguesa;calca
378,calcinha;selene;costura;boxer
379,visual;canelada;zafirinha;regata;calcinha;luziane;kids;mania;short;lisa;algodão
380,toalhas;desenho
381,matheus;estampada;cueca;haos
382,jardineira;paulina;mayara
383,confecções;cueca;lisa;haos
384,penteada;malha;colheita;meia;regata;vermelho;conjunto
385,curto;july;macacao;malha;calcinha;algodao;kids;juvenil;estampada
386,fralda;bilu;bege;pimpolho;passarinho;helicopteroazul;meia;regata;baby;tapa;pares;conjunto;camiseta;algodão;bordada
387,linho;gola;padre;camisa
388,estrelinha;menina;fantasia
389,chiclete;chapéu;rosa;blusa;oxford;lamayara
390,langerie;bojo;lili;sutia
391,urbano;manga;meia;camisa
392,visual;moda;naclefs;canelada;regata;kids;short;mania;fashion;juvenil;lisa;toalha;rosto
393,prendedor;gorgurao;will;chupeta
394,ccapuz;cforro;soft;caricia;minasrey;baby;toalha
395,conjunto;bege;pentmoletom;natureza
396,aberto;bilu;reto;moda;machao;sergio;modas;regata;short;infantil;liso;estampado;mijão;camiseta;algodão;bordada
397,camiseta;algodão;bordada
398,july;moda;malha;intima;calcinha;algodao;kids;juvenil;estampada
399,meias;masc;pimpolho;vinny;ursobrancaazul;meia;colorida;pares;branca
400,modellinikko;sandalia;bege;pimpolho;malha;laranja;conjunto;fase
401,moda;folia;penteada;malha;colheita;meia;amarelo;regata;kikarinho;kids;otavio;bebê;vestido;maria;conjunto;macaquito;mayara
402,penteada;malha;feliz;meia;vermelho;conjunto
403,camiseta;algodão;bordada
404,lisa;toalha;rosto
405,bilu;pimpolho;masculino;machao;detox;regata;tapa;infantil;liso;conjunto;algodão;penteadat;sergio;camiseta;fralda;moda;meia;modas;ecotex;verde;personagem;pares;lisa;bordada
406,sergio;machao;modas;rafaelabezzo;regata;short;moletom
407,denguinho;touca;bordada
